headline,group_name,group_description,importance_score
'N R Narayana Murthy's comeback positive for stock',StockMarket,"NSE, BSE, shares, trading, investments",6.0
UPSC aspirants term prelims moderate,RegionalNews,State-wise and city-wise local news,4.5
Over Rs1;600cr MoUs inked in 1st Indo-French Conclave,WorldNews,Major international events and developments,7.0
Power bill gang busted; 1 held,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
BJP candidate caught giving out pamphlets in temple,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Protest by jewellery shop owners,RegionalNews,State-wise and city-wise local news,4.5
Minister claims 11 deaths in Nandigram,Politics,"Elections, political parties, ministers, governance, parliament",9.0
Top 10 Most Common Project Management Mistakes to Avoid,RegionalNews,State-wise and city-wise local news,4.5
Bescom staffer suspected,RegionalNews,State-wise and city-wise local news,4.5
'Profit-making' Mumbai University told to pay Rs 39cr income tax,Education,"Schools, colleges, exams, admissions, policies",4.5
Manipuri youth attacked in city,RegionalNews,State-wise and city-wise local news,4.5
Rajasthan Congress to launch outreach campaign across polling booths,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Govt gives NOC to 10 new colleges,RegionalNews,State-wise and city-wise local news,4.5
MP orders probe in tiger killings; fails to take remedial measures to stop poaching,Politics,"Elections, political parties, ministers, governance, parliament",7.3
Prerna celebrates Joy of Giving with cancer survivors at Command Hospital,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Now; 10 foreign donors on 'prior clearance' list,RegionalNews,State-wise and city-wise local news,4.5
Telangana govt in a dilemma over holding budget session,Economy,"GDP, inflation, economic indicators, fiscal updates",9.0
Yes; Kashmir is angry but don't edit out the rest of the story,RegionalNews,State-wise and city-wise local news,4.5
Soaring high in the fishing game,RegionalNews,State-wise and city-wise local news,4.5
Ahmedabad businessman found dead,RegionalNews,State-wise and city-wise local news,4.5
Registry fraud: Senior corporation officials took Rs 21 lakh; says ACB,RegionalNews,State-wise and city-wise local news,4.5
Uddhav and Aaditya Thackeray attend CM Devendra Fadnavis's dinner for BJP; Sena legislators,Politics,"Elections, political parties, ministers, governance, parliament",7.3
Rani of hearts,RegionalNews,State-wise and city-wise local news,4.5
Rahman wishes Namma Chennai team,RegionalNews,State-wise and city-wise local news,4.5
Over 3500 health workers take part in drill in 51 dists,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
BJP credit war breaks out,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
India live,RegionalNews,State-wise and city-wise local news,4.5
IMA to send help for Uttarakhand victims,RegionalNews,State-wise and city-wise local news,4.5
Defeat anti-minority; anti-dalit BJP: Mayawati,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Sea of devotees throngs Old Goa to pay homage to Goencho Saib,RegionalNews,State-wise and city-wise local news,4.5
BJP bid to bag maximum seats in panchayat polls,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Youth killed in Kashmir 'sectarian' clash,Crime,"Criminal cases, investigations, arrests",6.5
'7 Khoon Maaf' is grey & grim',RegionalNews,State-wise and city-wise local news,4.5
Sabrina Carpenter joins 'The Hate U Give' movie adaptation,Entertainment,"Movies, TV, OTT, celebrities",4.5
Class VI student attempts suicide,Education,"Schools, colleges, exams, admissions, policies",4.5
Nicki Minaj's fans get 'pepper sprayed' during her concert,RegionalNews,State-wise and city-wise local news,4.5
Foundation stone for RUB laid,RegionalNews,State-wise and city-wise local news,4.5
Readerspeak: Terrorists give India a bad name,RegionalNews,State-wise and city-wise local news,4.5
Chandigarh: Students question NEET answer keys; write to NTA,Education,"Schools, colleges, exams, admissions, policies",4.5
BJP mahakumbh: CBSE schools declare holiday; Kendriya Vidyalayas to remain open,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Delhi Metro Rail Corporation interim consultant for Lucknow Metro,Infrastructure,"Roads, railways, airports, smart cities",4.5
Lalu regrets collapse of Third Front,RegionalNews,State-wise and city-wise local news,4.5
Will not have any structures depicted on coastal plan: Govt,RegionalNews,State-wise and city-wise local news,4.5
Pakistan fielding mishaps frustrate coach Mickey Arthur,WorldNews,Major international events and developments,7.0
Malik denies link with the woman carrying dollars,RegionalNews,State-wise and city-wise local news,4.5
Ajit Singh exhorts jats to gherao Delhi for reservation in jobs,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
Activist urges PMC; traffic police to improve safety on Baner Road,Infrastructure,"Roads, railways, airports, smart cities",4.5
Retired banker; journo among 25 duped by conman at ATMs,RegionalNews,State-wise and city-wise local news,4.5
50 marks will be subtracted from math paper of SSC,RegionalNews,State-wise and city-wise local news,4.5
Missing child rescued from railway station; woman held,Infrastructure,"Roads, railways, airports, smart cities",4.5
Film salutes holy refuge of couples,Entertainment,"Movies, TV, OTT, celebrities",4.5
Urban local bodies polls: JD(S); Congress brace for independent but friendly fight,Politics,"Elections, political parties, ministers, governance, parliament",7.3
BJP: Resolution on J&K blatant interference,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Wish Sonia Gandhi or Rahul Gandhi apologised for 1984,RegionalNews,State-wise and city-wise local news,4.5
Cong for union minister to open new terminal,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Lord Ganesha scales greater heights,RegionalNews,State-wise and city-wise local news,4.5
Artificial fruit ripening: Two fruit vendors arrested,RegionalNews,State-wise and city-wise local news,4.5
BBA student held for rape,Education,"Schools, colleges, exams, admissions, policies",6.5
US firm's city unit bags Chinese order,WorldNews,Major international events and developments,7.0
Power co opens first facilitation centre,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Dental colleges broke rules in management quota seats,RegionalNews,State-wise and city-wise local news,4.5
Zilla Parishad cuts allocation to health department as revenue shrinks,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Anna University's move to fill up posts of professors challenged,Education,"Schools, colleges, exams, admissions, policies",4.5
Buddhadeb grabs Golden Athena award,RegionalNews,State-wise and city-wise local news,4.5
Modi statement to remain confidential: Supreme Court,LawJustice,"Courts, legal judgments, litigation",8.0
US soccer captain Bradley slams Trump immigration order,WorldNews,Major international events and developments,7.0
Another girl killed by big cat,Crime,"Criminal cases, investigations, arrests",6.5
Cable car project on Chamundi Hills has Mysuru divided,RegionalNews,State-wise and city-wise local news,4.5
Missed exam by only 15 minutes,Education,"Schools, colleges, exams, admissions, policies",4.5
Bansal pips Navjot; Tewari; eyes 5th term as Cong MP from city,Politics,"Elections, political parties, ministers, governance, parliament",7.0
MIT ties up with TISS and Tata Trusts to launch connected learning initiative,RegionalNews,State-wise and city-wise local news,4.5
Icy winds in daytime make it seem colder than it is,RegionalNews,State-wise and city-wise local news,4.5
BJP banks on Modi juggernaut to steamroll local rivals,Politics,"Elections, political parties, ministers, governance, parliament",7.0
N K Singh joins BJP in New Delhi,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Is PC underplaying govt's fiscal deficit?,Economy,"GDP, inflation, economic indicators, fiscal updates",7.0
Uttar Pradesh revives health ATMs to beef up rural medical infrastructure,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Telenor-Unitech standoff worsens,RegionalNews,State-wise and city-wise local news,4.5
UP government approves NSA against goon who killed Oppo guard,Crime,"Criminal cases, investigations, arrests",6.5
Madhya Pradesh: MPIDC added 2;300 hectare land bank from April to December 2021,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
GMADA to charge non-construction fee from land owners,RealEstate,"Housing, property market, construction",4.5
Nisha Jamvwal wins women's achievers award from the World Women Leadership Congress in Mumbai,Politics,"Elections, political parties, ministers, governance, parliament",7.3
Tiger Shroff; Shraddha Kapoor couldn't believe they were doing film together,Entertainment,"Movies, TV, OTT, celebrities",4.5
3 loan sharks booked for trying to kill friend,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
UT DSP dies of cardiac arrest,Crime,"Criminal cases, investigations, arrests",4.5
Six Indians arrested in Malaysia,RegionalNews,State-wise and city-wise local news,4.5
BJYM Punjab chief is BJP's Bathinda chief,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Andhra Pradesh counters RBI's claims,BankingFinance,"Banks, loans, RBI, fintech, financial services",8.0
Wada pav vendor held for rape,Crime,"Criminal cases, investigations, arrests",6.5
School kids face shortage of text books,Education,"Schools, colleges, exams, admissions, policies",4.5
High learning 039low039 work,RegionalNews,State-wise and city-wise local news,4.5
At defence meet; PM skips pay talk,DefenceMilitary,"Armed forces, defense deals, military operations",7.0
Snake disrupts power supply,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Ravi to lead rally today in Vizianagaram,RegionalNews,State-wise and city-wise local news,4.5
Lucknow University to make yoga; sports mandatory,Education,"Schools, colleges, exams, admissions, policies",4.5
Javadekar faces criticism over Ramayan tweet,RegionalNews,State-wise and city-wise local news,4.5
Thousands of Calcutta University college seats up for grabs in second round,Education,"Schools, colleges, exams, admissions, policies",4.5
Nitin Gadkari may get second term as BJP chief,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Sexual assault of toddler: Rape accused in custody for 15 days,Crime,"Criminal cases, investigations, arrests",6.5
Nokia: How Asha series basic phones can change company's fortunes,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
BJP MLA accuses Himachal Pradesh govt of bias against her constituency,Politics,"Elections, political parties, ministers, governance, parliament",7.0
